Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mutated peptide count	Mutation names	Mutated peptide count B1	Mutation names B1	Mutated peptide count B2	Mutation names B2	Mutated peptide count B3	Mutation names B3	Mutated peptide count H1	Mutation names H1	Mutated peptide count H2	Mutation names H2	Mutated peptide count H3	Mutation names H3	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides B1	Peptides B2	Peptides B3	Peptides H1	Peptides H2	Peptides H3	Razor + unique peptides B1	Razor + unique peptides B2	Razor + unique peptides B3	Razor + unique peptides H1	Razor + unique peptides H2	Razor + unique peptides H3	Unique peptides B1	Unique peptides B2	Unique peptides B3	Unique peptides H1	Unique peptides H2	Unique peptides H3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type B1	Identification type B2	Identification type B3	Identification type H1	Identification type H2	Identification type H3	Sequence coverage B1 [%]	Sequence coverage B2 [%]	Sequence coverage B3 [%]	Sequence coverage H1 [%]	Sequence coverage H2 [%]	Sequence coverage H3 [%]	Intensity	Intensity B1	Intensity B2	Intensity B3	Intensity H1	Intensity H2	Intensity H3	LFQ intensity B1	LFQ intensity B2	LFQ intensity B3	LFQ intensity H1	LFQ intensity H2	LFQ intensity H3	MS/MS count B1	MS/MS count B2	MS/MS count B3	MS/MS count H1	MS/MS count H2	MS/MS count H3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|P61586|RHOA_HUMAN;sp|P08134|RHOC_HUMAN	sp|P61586|RHOA_HUMAN;sp|P08134|RHOC_HUMAN	1;1	1;1	1;1	0		0		0		0		0		0		0		sp|P61586|RHOA_HUMAN Transforming protein RhoA OS=Homo sapiens OX=9606 GN=RHOA PE=1 SV=1;sp|P08134|RHOC_HUMAN Rho-related GTP-binding protein RhoC OS=Homo sapiens OX=9606 GN=RHOC PE=1 SV=1	2	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	5.7	5.7	5.7	21.768	193	193;193	0	6.0097					By MS/MS	By MS/MS	0	0	0	0	5.7	5.7	331630	0	0	0	0	188740	142900	0	0	0	0	0	15244	0	0	0	0	1	1	2				139	1051	True	1071	1955;1956	1715;1716	1715		
sp|P08195|4F2_HUMAN	sp|P08195|4F2_HUMAN	4	4	4	0		0		0		0		0		0		0		sp|P08195|4F2_HUMAN 4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=3	1	4	4	4	0	0	0	1	4	0	0	0	0	1	4	0	0	0	0	1	4	0	10.2	10.2	10.2	67.993	630	630	0	63.255				By MS/MS	By MS/MS		0	0	0	3.3	10.2	0	3568200	0	0	0	469710	3098500	0	0	0	0	0	165580	0	0	0	0	1	4	0	5				140	26;226;964;1601	True;True;True;True	26;229;983;1629	54;55;447;1792;2890	43;44;385;1575;2547	43;385;1575;2547		
sp|P08238|HS90B_HUMAN;sp|Q58FF7|H90B3_HUMAN	sp|P08238|HS90B_HUMAN	16;6	16;6	8;2	0		0		0		0		0		0		0		sp|P08238|HS90B_HUMAN Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4	2	16	16	8	0	2	1	8	11	3	0	2	1	8	11	3	0	1	1	4	7	2	24.2	24.2	14.2	83.263	724	724;597	0	209.64		By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	0	2.8	2.1	12.7	18	6.6	15239000	0	0	8290	5132200	8938400	1159700	0	0	0	259770	395660	339840	0	2	0	9	10	2	23				141	194;337;384;385;408;497;604;610;905;1172;1311;1415;1680;1798;1813;1814	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	197;343;391;392;415;506;615;621;924;1194;1334;1440;1708;1830;1845;1846;1847	386;387;648;719;720;721;767;768;924;1104;1105;1115;1684;2154;2155;2156;2385;2386;2557;3012;3245;3266;3267;3268;3269;3270;3271;3272	335;336;555;618;619;620;658;659;796;953;954;964;1485;1886;2094;2095;2248;2659;2868;2886;2887;2888;2889;2890;2891	336;555;618;619;659;796;953;964;1485;1886;2095;2248;2659;2868;2888;2891	41	466
sp|P08243|ASNS_HUMAN	sp|P08243|ASNS_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P08243|ASNS_HUMAN Asparagine synthetase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=ASNS PE=1 SV=4	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2.9	2.9	2.9	64.369	561	561	0	6.5219					By MS/MS		0	0	0	0	2.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1				142	453	True	460	839	722	722		
sp|P08574|CY1_HUMAN	sp|P08574|CY1_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P08574|CY1_HUMAN Cytochrome c1, heme protein, mitochondrial OS=Homo sapiens OX=9606 GN=CYC1 PE=1 SV=3	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	4	4	4	35.422	325	325	0	6.6713					By MS/MS		0	0	0	0	4	0	75964	0	0	0	0	75964	0	0	0	0	0	4059.5	0	0	0	0	0	1	0	1				143	618	True	629	1126	975	975		
sp|P08621|RU17_HUMAN	sp|P08621|RU17_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|P08621|RU17_HUMAN U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens OX=9606 GN=SNRNP70 PE=1 SV=2	1	2	2	2	0	0	0	1	2	2	0	0	0	1	2	2	0	0	0	1	2	2	4.6	4.6	4.6	51.556	437	437	0	13.341				By MS/MS	By MS/MS	By matching	0	0	0	2.5	4.6	4.6	420970	0	0	0	71316	288020	61637	0	0	0	0	16824	5143.2	0	0	0	1	3	0	4				144	591;1722	True;True	602;1752	1086;1087;1088;3100;3101	935;936;937;2742	936;2742		
sp|P08670|VIME_HUMAN;sp|P41219|PERI_HUMAN;sp|P17661|DESM_HUMAN;sp|Q16352|AINX_HUMAN;sp|P07196|NFL_HUMAN;sp|P07197|NFM_HUMAN;sp|P12036|NFH_HUMAN	sp|P08670|VIME_HUMAN	20;3;2;1;1;1;1	19;2;1;1;1;1;1	19;2;1;1;1;1;1	0		0		0		0		0		0		0		sp|P08670|VIME_HUMAN Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4	7	20	19	19	2	1	2	8	13	9	1	0	1	7	12	9	1	0	1	7	12	9	45.1	43.3	43.3	53.651	466	466;470;470;499;543;916;1026	0	210.79	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	4.7	1.7	3.6	18	29.4	19.7	7523500	5405	0	0	3475300	1977600	2065200	0	0	0	0	121180	204810	0	0	1	6	9	9	25				145	239;274;340;394;432;435;713;752;942;1076;1091;1157;1283;1300;1301;1350;1351;1419;1598;1599	True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True	243;280;346;401;439;442;726;766;961;1096;1112;1179;1306;1323;1324;1374;1375;1444;1626;1627	468;526;527;653;736;807;808;813;814;1312;1384;1385;1746;1747;1748;1749;1750;1751;1752;1753;1754;1755;1995;2014;2015;2016;2122;2123;2339;2365;2366;2367;2439;2440;2441;2442;2564;2885;2886;2887	406;457;458;559;632;690;691;696;697;1142;1212;1213;1539;1540;1541;1749;1765;1766;1767;1859;1860;2049;2073;2074;2075;2076;2146;2147;2254;2543;2544	406;457;559;632;691;697;1142;1212;1540;1749;1767;1860;2049;2075;2076;2146;2147;2254;2543;2544	42;43;44	14;347;391
sp|P08708|RS17_HUMAN	sp|P08708|RS17_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|P08708|RS17_HUMAN 40S ribosomal protein S17 OS=Homo sapiens OX=9606 GN=RPS17 PE=1 SV=2	1	2	2	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	14.8	14.8	14.8	15.55	135	135	0	12.323				By MS/MS	By MS/MS		0	0	0	7.4	7.4	0	86131	0	0	0	86131	0	0	0	0	0	8463.7	0	0	0	0	0	0	1	0	1				146	640;909	True;True	651;928	1165;1689	1010;1489	1010;1489		
sp|P08758|ANXA5_HUMAN	sp|P08758|ANXA5_HUMAN	6	6	6	0		0		0		0		0		0		0		sp|P08758|ANXA5_HUMAN Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2	1	6	6	6	1	0	0	4	3	2	1	0	0	4	3	2	1	0	0	4	3	2	19.1	19.1	19.1	35.936	320	320	0	65.421	By matching			By MS/MS	By MS/MS	By MS/MS	5	0	0	10.6	10.9	7.8	6292600	5953.1	0	0	2131900	3031600	1123100	0	0	0	0	162010	0	0	0	0	4	3	1	8				147	18;468;501;550;1376;1714	True;True;True;True;True;True	18;475;510;559;1401;1744	30;870;871;931;1009;1010;1011;1012;2486;3084;3085	25;752;753;802;872;873;2189;2728;2729	25;752;802;872;2189;2729		
sp|P08865|RSSA_HUMAN	sp|P08865|RSSA_HUMAN	3	3	3	0		0		0		0		0		0		0		sp|P08865|RSSA_HUMAN 40S ribosomal protein SA OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4	1	3	3	3	0	0	0	2	1	2	0	0	0	2	1	2	0	0	0	2	1	2	15.3	15.3	15.3	32.854	295	295	0	138.45				By MS/MS	By MS/MS	By MS/MS	0	0	0	9.5	5.8	10.2	2204400	0	0	0	862760	368290	973400	0	0	0	0	0	103840	0	0	0	2	1	2	5				148	78;434;488	True;True;True	80;441;496	158;159;160;811;812;907	135;136;694;695;781	136;695;781		
sp|P09012|SNRPA_HUMAN	sp|P09012|SNRPA_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P09012|SNRPA_HUMAN U1 small nuclear ribonucleoprotein A OS=Homo sapiens OX=9606 GN=SNRPA PE=1 SV=3	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	3.5	3.5	3.5	31.279	282	282	0	9.2112			By MS/MS	By MS/MS	By MS/MS	By matching	0	0	3.5	3.5	3.5	3.5	586260	0	0	38285	156960	232590	158430	0	0	0	0	0	16900	0	0	1	1	1	0	3				149	428	True	435	800;801;802;803	684;685;686	685		
sp|P09211|GSTP1_HUMAN	sp|P09211|GSTP1_HUMAN	3	3	3	0		0		0		0		0		0		0		sp|P09211|GSTP1_HUMAN Glutathione S-transferase P OS=Homo sapiens OX=9606 GN=GSTP1 PE=1 SV=2	1	3	3	3	0	0	0	2	1	2	0	0	0	2	1	2	0	0	0	2	1	2	17.6	17.6	17.6	23.356	210	210	0	100.78				By MS/MS	By MS/MS	By MS/MS	0	0	0	11.4	5.2	11.4	3575400	0	0	0	0	2375900	1199500	0	0	0	0	0	127960	0	0	0	2	1	2	5				150	1206;1210;1816	True;True;True	1228;1232;1849	2208;2214;2215;2216;2217;3275	1933;1937;1938;1939;2894	1933;1938;2894		
sp|P09234|RU1C_HUMAN	sp|P09234|RU1C_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P09234|RU1C_HUMAN U1 small nuclear ribonucleoprotein C OS=Homo sapiens OX=9606 GN=SNRPC PE=1 SV=1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	11.3	11.3	11.3	17.394	159	159	0	8.4096					By MS/MS	By matching	0	0	0	0	11.3	11.3	234960	0	0	0	0	150150	84806	0	0	0	0	0	9046.9	0	0	0	0	1	0	1				151	496	True	505	922;923	795	795		
sp|P09382|LEG1_HUMAN	sp|P09382|LEG1_HUMAN	4	4	4	0		0		0		0		0		0		0		sp|P09382|LEG1_HUMAN Galectin-1 OS=Homo sapiens OX=9606 GN=LGALS1 PE=1 SV=2	1	4	4	4	0	0	0	2	4	2	0	0	0	2	4	2	0	0	0	2	4	2	34.1	34.1	34.1	14.716	135	135	0	84.347				By MS/MS	By MS/MS	By MS/MS	0	0	0	19.3	34.1	19.3	17128000	0	0	0	5236700	9414500	2477000	0	0	0	610990	406690	0	0	0	0	2	2	1	5				152	15;288;977;1384	True;True;True;True	15;294;997;1409	24;25;26;549;1810;1811;2501;2502	20;21;22;476;1594;1595;2200	20;476;1595;2200		
sp|P09429|HMGB1_HUMAN	sp|P09429|HMGB1_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P09429|HMGB1_HUMAN High mobility group protein B1 OS=Homo sapiens OX=9606 GN=HMGB1 PE=1 SV=3	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	8.4	8.4	8.4	24.893	215	215	0	6.2952				By MS/MS	By MS/MS		0	0	0	8.4	8.4	0	455880	0	0	0	92702	363180	0	0	0	0	0	19408	0	0	0	0	1	1	0	2				153	900	True	919	1674;1675	1475;1476	1475		
sp|P09496|CLCA_HUMAN	sp|P09496|CLCA_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P09496|CLCA_HUMAN Clathrin light chain A OS=Homo sapiens OX=9606 GN=CLTA PE=1 SV=1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3.6	3.6	3.6	27.076	248	248	0.0079745	5.8265				By MS/MS			0	0	0	3.6	0	0	188830	0	0	0	188830	0	0	0	0	0	18556	0	0	0	0	0	1	0	0	1				154	870	True	886	1602	1409	1409		
sp|P09543|CN37_HUMAN	sp|P09543|CN37_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|P09543|CN37_HUMAN 2,3-cyclic-nucleotide 3-phosphodiesterase OS=Homo sapiens OX=9606 GN=CNP PE=1 SV=2	1	2	2	2	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	6.2	6.2	6.2	47.578	421	421	0	12.775					By MS/MS	By MS/MS	0	0	0	0	2.6	3.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2				155	116;720	True;True	119;733	230;1324	193;1155	193;1155		
sp|P09601|HMOX1_HUMAN	sp|P09601|HMOX1_HUMAN	5	5	5	0		0		0		0		0		0		0		sp|P09601|HMOX1_HUMAN Heme oxygenase 1 OS=Homo sapiens OX=9606 GN=HMOX1 PE=1 SV=1	1	5	5	5	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	5	0	26.7	26.7	26.7	32.818	288	288	0	34.874					By MS/MS		0	0	0	0	26.7	0	2496900	0	0	0	0	2496900	0	0	0	0	0	133440	0	0	0	0	0	5	0	5				156	413;427;1054;1089;1108	True;True;True;True;True	420;434;1074;1110;1130	775;799;1961;2012;2041	665;683;1720;1763;1789	665;683;1720;1763;1789	45;46	1;186
sp|P09622|DLDH_HUMAN	sp|P09622|DLDH_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P09622|DLDH_HUMAN Dihydrolipoyl dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=DLD PE=1 SV=2	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	2	2	2	54.177	509	509	0.0017361	5.9407					By matching	By MS/MS	0	0	0	0	2	2	590040	0	0	0	0	333970	256070	0	0	0	0	0	27316	0	0	0	0	0	1	1				157	325	True	331	625;626	537	537		
sp|P09651|ROA1_HUMAN;sp|Q32P51|RA1L2_HUMAN	sp|P09651|ROA1_HUMAN;sp|Q32P51|RA1L2_HUMAN	4;2	3;1	3;1	0		0		0		0		0		0		0		sp|P09651|ROA1_HUMAN Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5;sp|Q32P51|RA1L2_HUMAN Heterogeneous nuclear ribonucleoprotein A1-like 2 OS=Homo sapiens OX=9606 GN=HNRNPA1L2 PE=2 SV=2	2	4	3	3	1	0	0	2	2	1	0	0	0	1	2	1	0	0	0	1	2	1	14.5	12.1	12.1	38.746	372	372;320	0	38.089	By matching			By MS/MS	By MS/MS	By MS/MS	2.4	0	0	6.7	9.1	3	1591200	0	0	0	369360	1221800	0	0	0	0	0	65294	0	0	0	0	1	2	1	4				158	338;1179;1381;1392	False;True;True;True	344;1201;1406;1417	649;650;2167;2493;2513;2514	556;1897;2194;2209;2210	556;1897;2194;2209		
sp|P09874|PARP1_HUMAN	sp|P09874|PARP1_HUMAN	3	3	3	0		0		0		0		0		0		0		sp|P09874|PARP1_HUMAN Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4	1	3	3	3	0	1	1	2	2	2	0	1	1	2	2	2	0	1	1	2	2	2	3.4	3.4	3.4	113.08	1014	1014	0	18.887		By matching	By matching	By MS/MS	By matching	By MS/MS	0	1	1.3	2.1	2.3	2.3	461200	0	12948	11770	86214	195250	155030	0	0	0	0	10368	16604	0	0	0	2	0	2	4				159	41;620;994	True;True;True	41;631;1014	78;79;80;81;1128;1129;1130;1836	63;64;977;1615	64;977;1615		
sp|P09972|ALDOC_HUMAN	sp|P09972|ALDOC_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P09972|ALDOC_HUMAN Fructose-bisphosphate aldolase C OS=Homo sapiens OX=9606 GN=ALDOC PE=1 SV=2	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	7.1	7.1	7.1	39.455	364	364	0	8.8726					By MS/MS	By MS/MS	0	0	0	0	7.1	7.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2				160	1619	True	1647	2921;2922	2576;2577	2576		
sp|Q71UI9|H2AV_HUMAN;sp|P0C0S5|H2AZ_HUMAN	sp|Q71UI9|H2AV_HUMAN;sp|P0C0S5|H2AZ_HUMAN	3;3	1;1	1;1	0		0		0		0		0		0		0		sp|Q71UI9|H2AV_HUMAN Histone H2A.V OS=Homo sapiens OX=9606 GN=H2AZ2 PE=1 SV=3;sp|P0C0S5|H2AZ_HUMAN Histone H2A.Z OS=Homo sapiens OX=9606 GN=H2AZ1 PE=1 SV=2	2	3	1	1	1	1	1	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	23.4	10.9	10.9	13.509	128	128;128	0	6.1602	By matching	By matching	By matching	By MS/MS	By matching		7	7	7	18	5.5	0	127600	0	0	0	127600	0	0	0	0	0	12538	0	0	0	0	0	1	0	0	1				161	54;152;614	False;True;False	55;155;625	105;106;107;108;307;1121	88;89;265;970	89;265;970		
sp|P62987|RL40_HUMAN;sp|P62979|RS27A_HUMAN;sp|P0CG47|UBB_HUMAN;sp|P0CG48|UBC_HUMAN	sp|P62987|RL40_HUMAN;sp|P62979|RS27A_HUMAN;sp|P0CG47|UBB_HUMAN;sp|P0CG48|UBC_HUMAN	2;2;2;2	2;2;2;2	2;2;2;2	0		0		0		0		0		0		0		sp|P62987|RL40_HUMAN Ubiquitin-60S ribosomal protein L40 OS=Homo sapiens OX=9606 GN=UBA52 PE=1 SV=2;sp|P62979|RS27A_HUMAN Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2;sp|P0CG47|UBB_HUMAN Polyubiquitin-B OS=Homo sapiens O	4	2	2	2	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	19.5	19.5	19.5	14.728	128	128;156;229;685	0	14.064		By MS/MS			By MS/MS		0	7	0	0	12.5	0	975560	0	258400	0	0	717160	0	0	0	0	0	38325	0	0	1	0	0	1	0	2				162	1536;1547	True;True	1563;1574	2778;2796	2441;2460	2441;2460		
sp|Q01105|SET_HUMAN;sp|P0DME0|SETLP_HUMAN	sp|Q01105|SET_HUMAN;sp|P0DME0|SETLP_HUMAN	1;1	1;1	1;1	0		0		0		0		0		0		0		sp|Q01105|SET_HUMAN Protein SET OS=Homo sapiens OX=9606 GN=SET PE=1 SV=3;sp|P0DME0|SETLP_HUMAN Protein SETSIP OS=Homo sapiens OX=9606 GN=SETSIP PE=1 SV=1	2	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	3.4	3.4	3.4	33.488	290	290;302	0	6.8609						By MS/MS	0	0	0	0	0	3.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1				163	1642	True	1670	2954	2606	2606		
sp|P0DMV9|HS71B_HUMAN;sp|P0DMV8|HS71A_HUMAN	sp|P0DMV9|HS71B_HUMAN;sp|P0DMV8|HS71A_HUMAN	5;5	2;2	2;2	0		0		0		0		0		0		0		sp|P0DMV9|HS71B_HUMAN Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1;sp|P0DMV8|HS71A_HUMAN Heat shock 70 kDa protein 1A OS=Homo sapiens OX=9606 GN=HSPA1A PE=1 SV=1	2	5	2	2	0	0	0	4	3	0	0	0	0	2	1	0	0	0	0	2	1	0	8	3.6	3.6	70.051	641	641;641	0	13.325				By MS/MS	By MS/MS		0	0	0	5.9	5.3	0	668750	0	0	0	668750	0	0	0	0	0	65715	0	0	0	0	0	3	1	0	4				164	127;765;956;1462;1581	True;False;True;False;False	130;779;975;1488;1609	251;252;1413;1414;1780;2647;2855	213;214;215;1241;1564;2326;2519	215;1241;1564;2326;2519		
sp|P10155|RO60_HUMAN	sp|P10155|RO60_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P10155|RO60_HUMAN 60 kDa SS-A/Ro ribonucleoprotein OS=Homo sapiens OX=9606 GN=RO60 PE=1 SV=2	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	2	2	2	60.67	538	538	0.0017422	5.9465					By matching	By MS/MS	0	0	0	0	2	2	567560	0	0	0	0	209270	358290	0	0	0	0	0	38221	0	0	0	0	0	1	1				165	907	True	926	1686;1687	1487	1487		
sp|P16403|H12_HUMAN;sp|P10412|H14_HUMAN;sp|P16402|H13_HUMAN	sp|P16403|H12_HUMAN;sp|P10412|H14_HUMAN;sp|P16402|H13_HUMAN	1;1;1	1;1;1	1;1;1	0		0		0		0		0		0		0		sp|P16403|H12_HUMAN Histone H1.2 OS=Homo sapiens OX=9606 GN=H1-2 PE=1 SV=2;sp|P10412|H14_HUMAN Histone H1.4 OS=Homo sapiens OX=9606 GN=H1-4 PE=1 SV=2;sp|P16402|H13_HUMAN Histone H1.3 OS=Homo sapiens OX=9606 GN=H1-3 PE=1 SV=2	3	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	4.2	4.2	4.2	21.364	213	213;219;221	0	6.1146				By MS/MS			0	0	0	4.2	0	0	938440	0	0	0	938440	0	0	0	0	0	92215	0	0	0	0	0	1	0	0	1				166	1390	True	1415	2511	2207	2207		
sp|P10599|THIO_HUMAN	sp|P10599|THIO_HUMAN	5	5	5	0		0		0		0		0		0		0		sp|P10599|THIO_HUMAN Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3	1	5	5	5	0	0	0	2	4	1	0	0	0	2	4	1	0	0	0	2	4	1	42.9	42.9	42.9	11.737	105	105	0	118.98				By MS/MS	By MS/MS	By MS/MS	0	0	0	21.9	41	12.4	12226000	0	0	0	140030	10123000	1963600	0	0	0	0	540940	0	0	0	0	2	3	2	7				167	873;1099;1483;1655;1656	True;True;True;True;True	889;1121;1510;1683;1684	1605;2028;2029;2686;2687;2973;2974	1412;1777;1778;2357;2358;2359;2622;2623	1412;1777;2357;2622;2623		
sp|P10809|CH60_HUMAN	sp|P10809|CH60_HUMAN	11	11	11	0		0		0		0		0		0		0		sp|P10809|CH60_HUMAN 60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2	1	11	11	11	3	1	3	5	5	5	3	1	3	5	5	5	3	1	3	5	5	5	22.5	22.5	22.5	61.054	573	573	0	304.46	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.2	1.6	6.1	9.2	9.4	8.6	21136000	316290	5636.3	1606900	3784600	12727000	2695500	0	0	0	331770	511200	496580	1	0	3	5	5	5	19				168	187;505;590;680;737;755;1001;1125;1660;1661;1747	True;True;True;True;True;True;True;True;True;True;True	190;514;601;691;750;769;1021;1147;1688;1689;1777	377;378;935;936;1085;1236;1237;1238;1352;1390;1850;1851;2070;2981;2982;2983;3148;3149;3150;3151;3152;3153	326;327;806;934;1068;1069;1070;1182;1218;1626;1627;1810;2630;2631;2632;2783;2784;2785;2786;2787	327;806;934;1068;1182;1218;1626;1810;2630;2632;2783	47	145
sp|P11021|BIP_HUMAN	sp|P11021|BIP_HUMAN	4	4	4	0		0		0		0		0		0		0		sp|P11021|BIP_HUMAN Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2	1	4	4	4	0	0	0	3	1	1	0	0	0	3	1	1	0	0	0	3	1	1	5.7	5.7	5.7	72.332	654	654	0	25.106				By MS/MS	By MS/MS	By MS/MS	0	0	0	4	1.4	1.7	684020	0	0	0	101460	582560	0	0	0	0	0	31132	0	0	0	0	3	1	1	5				169	418;766;1130;1695	True;True;True;True	425;780;1152;1725	782;783;1415;2080;3045	670;671;1242;1820;2691	671;1242;1820;2691		
sp|P11142|HSP7C_HUMAN;sp|P54652|HSP72_HUMAN;sp|P34931|HS71L_HUMAN	sp|P11142|HSP7C_HUMAN;sp|P54652|HSP72_HUMAN	8;5;2	8;5;2	5;2;0	0		0		0		0		0		0		0		sp|P11142|HSP7C_HUMAN Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1;sp|P54652|HSP72_HUMAN Heat shock-related 70 kDa protein 2 OS=Homo sapiens OX=9606 GN=HSPA2 PE=1 SV=1	3	8	8	5	1	0	0	3	7	4	1	0	0	3	7	4	1	0	0	2	5	3	11.8	11.8	7.3	70.897	646	646;639;641	0	155.82	By MS/MS			By MS/MS	By MS/MS	By MS/MS	1.9	0	0	5.1	10.4	7.3	21406000	233410	0	0	2103200	15190000	3879600	0	0	0	469990	567750	371030	1	0	0	2	7	3	13				170	133;361;450;765;955;1323;1439;1581	True;True;True;True;True;True;True;True	136;367;457;779;974;1346;1347;1465;1609	261;262;263;682;836;1413;1414;1779;2402;2403;2404;2405;2601;2602;2603;2855	223;224;225;586;719;1241;1563;2110;2111;2112;2286;2287;2519	224;586;719;1241;1563;2112;2286;2519	48	87
sp|P11216|PYGB_HUMAN	sp|P11216|PYGB_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P11216|PYGB_HUMAN Glycogen phosphorylase, brain form OS=Homo sapiens OX=9606 GN=PYGB PE=1 SV=5	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1.5	1.5	1.5	96.695	843	843	0.0032841	5.8717				By MS/MS			0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1				171	1170	True	1192	2151	1883	1883		
sp|P11279|LAMP1_HUMAN	sp|P11279|LAMP1_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P11279|LAMP1_HUMAN Lysosome-associated membrane glycoprotein 1 OS=Homo sapiens OX=9606 GN=LAMP1 PE=1 SV=3	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	2.2	2.2	2.2	44.882	417	417	0	6.1146					By MS/MS	By matching	0	0	0	0	2.2	2.2	596780	0	0	0	0	394950	201830	0	0	0	0	0	21530	0	0	0	0	1	0	1				172	1587	True	1615	2861;2862	2525	2525		
